amfi_code,alpha,beta
100016,0.03747580763443281,-0.05826843143880889
100025,0.042817920315060876,0.0011582183155281445
100033,0.2719535450128533,0.00510352583052832
101206,0.21399784776051212,0.021086316250128027
101207,0.10897091901704538,-0.06528924788351524
101208,0.060861457957871144,0.00026670968338238357
102885,0.17048756803412696,-0.019486785689474533
102886,0.028969397866379445,-0.042125029021894335
102887,0.16211256794033255,0.01668268943777081
118632,0.21829397904608644,-0.008353832126962012
118633,0.1564383594816967,-0.036639006718609375
118634,0.1750072167561127,0.10349663691337589
118635,0.1513635464823924,-0.0014335213897801165
118636,0.05074772999976104,0.0012566742731558473
119092,0.0689952982167755,0.009730745001153633
119093,0.08232801295222093,0.025883212440093156
119094,0.2607666908004223,-0.06626542862803757
119095,0.048015953637759554,-0.06695117463929202
119120,0.05620895216638369,-0.0064138507282764734
119551,0.23201007160635082,-0.03175144113890971
119552,0.1986859936686296,-0.026159307513513405
119598,0.3033696538698332,-0.023196062044059697
119599,0.048824215945539845,0.062001804382671694
120503,0.17703302365844073,-0.0402689523698206
120504,0.2119482701352573,0.016232169761417007
120505,0.2926358334175106,0.000549004250631717
120506,0.1625385327998104,0.04189646272811977
120507,0.06746210411099539,-0.0004440926329707217
120841,0.13042924450705445,0.0363563990221998
120842,0.0780443887615508,0.01805687420811815
120843,0.27330465038306057,-0.022829569792426556
120844,0.06455677495375998,-0.0004007442394784001
125497,0.17729754927531766,0.0488204042595774
125498,0.11989100971217971,0.009054412621739151
148567,0.2698375144191807,0.02368355807584862
148568,0.20873010086942337,-0.02638771994384301
148569,0.2827036785246582,0.01813388408385922
149322,0.13173190226099432,-0.004050271130006522
149323,0.26598577542043045,-0.002523004664699254
149324,0.3005787817097677,0.011455159960520734
