amfi_code,sharpe_ratio
100016,-0.20151706755966944
100025,-0.5670947928476847
100033,1.0936987435346313
101206,1.0272133278753701
101207,0.16266076928646755
101208,-0.8155673679088283
102885,0.8170993373494371
102886,-0.20583160785470317
102887,0.6195175900829827
118632,1.0816591793457038
118633,0.6452074382933213
118634,0.4484340089089916
118635,0.6648569985490616
118636,-0.35662950751436806
119092,0.030784850954585892
119093,0.12961449795669322
119094,0.9982309868636414
119095,-0.07597357117478934
119120,-0.22657538662791585
119551,1.208266567372718
119552,0.9532794968660094
119598,0.945308257515609
119599,-0.05718662582818002
120503,0.7979728586052852
120504,1.0265242847993
120505,1.1801011976606492
120506,0.6488787755249535
120507,0.49572339295331164
120841,0.49427253786723574
120842,0.07599984804658912
120843,1.3067439695428402
120844,-0.08874729621557491
125497,0.7757902498211213
125498,0.3006119210425477
148567,1.4482911703262593
148568,0.926287346736015
148569,1.2349300257743294
149322,0.46403744922047724
149323,1.1321218524747245
149324,0.949795824661603
